TEAM,DATE,HOME / AWAY,OPPOSING TEAM,TOTAL POINTS GAINED,FINAL SCORE,TRIES,PENALTY TRY,CONVERSIONS,PENALTY KICK,DROP GOAL,KICK SUCCESS,METERS RUN,KICKS FROM HAND,PASSES,RUNS,POSSESSION 1H,POSSESSION 2H,TERRITORY 1H,TERRITORY 2H,CLEAN BREAKS,DEFENDERS BEATEN,OFFLOADS,RUCKS,RUCKS WON,MAULS,MAULS WON,TURNOVER CONCEDED,SCRUMS,SCRUMS WON,PACK WEIGHT,LINEOUTS,LINEOUTS WON,TACKLES MADE,TACKLES SUCCESS,PENALTIES CONCEDED,RED CARD,YELLOW CARD,FREE KICKS CONCEDED
FRA,20/03/21,HOME,WALES,5,32,4,0,3,2,0,83.00%,506,19,176,151,37.00%,64.00%,32.00%,67.00%,9,28,12,105,105,4,4,13,7,7,952,14,13,174,166,6,1,1,0
WALES,20/03/21,AWAY,FRA,1,30,3,0,3,3,0,100.00%,356,29,154,122,63.00%,36.00%,68.00%,33.00%,5,8,4,103,101,6,6,6,7,7,915,8,8,199,171,15,0,2,0
IRE,05/02/22,HOME,WALES,5,29,4,0,3,1,0,57.00%,520,23,240,148,64.00%,56.00%,49.00%,65.00%,9,22,6,122,120,9,8,19,11,11,903,16,15,130,120,6,0,0,0
WALES,05/02/22,AWAY,IRE,0,8,1,0,1,0,0,100.00%,220,14,162,95,36.00%,44.00%,51.00%,35.00%,4,10,8,80,76,4,3,16,6,5,913,12,8,209,187,14,0,1,0
SCOT,05/02/22,HOME,ENG,4,20,1,1,1,2,0,100.00%,301,27,103,78,38.00%,55.00%,28.00%,48.00%,5,17,3,63,58,7,6,11,7,4,916,16,16,132,124,13,0,0,2
ENG,05/02/22,AWAY,SCOT,1,17,1,0,0,4,0,80.00%,418,32,114,99,62.00%,45.00%,72.00%,52.00%,3,8,7,77,73,10,10,10,8,5,915,17,15,112,95,10,0,1,2
FRA,06/02/22,HOME,ITA,5,37,5,0,3,2,0,71.00%,492,33,157,124,62.00%,54.00%,66.00%,64.00%,7,23,9,96,91,10,9,10,5,4,942,18,17,107,100,14,0,0,0
ITA,06/02/22,AWAY,FRA,0,10,1,0,1,1,0,100.00%,264,30,97,80,38.00%,46.00%,34.00%,36.00%,2,7,1,73,68,2,2,17,6,6,895,16,14,181,158,10,0,0,0
WALES,12/02/22,HOME,SCOT,4,20,1,0,0,4,1,67.00%,463,37,146,124,48.00%,52.00%,48.00%,60.00%,1,13,4,103,100,9,8,7,6,4,905,12,12,201,176,8,0,0,0
SCOT,12/02/22,AWAY,WALES,1,17,1,0,0,4,0,80.00%,466,28,178,131,52.00%,48.00%,52.00%,40.00%,5,25,7,114,109,5,5,11,7,4,917,12,12,174,161,13,0,1,0
FRA,12/02/22,HOME,IRE,4,30,2,0,1,6,0,88.00%,334,32,125,101,52.00%,43.00%,55.00%,48.00%,3,16,8,83,79,1,1,12,5,5,948,14,12,130,119,7,0,0,1
IRE,12/02/22,AWAY,FRA,1,24,3,0,3,1,0,100.00%,355,32,157,112,48.00%,57.00%,45.00%,52.00%,3,11,7,87,82,6,6,18,3,3,903,15,13,150,134,10,0,0,0
ITA,13/02/22,HOME,ENG,0,0,0,0,0,0,0,0.00%,288,24,127,82,31.00%,51.00%,46.00%,70.00%,5,10,8,67,62,8,7,13,13,10,905,20,17,197,178,12,0,0,0
